INDEX	contextgene	Exist_517pair	pancancer	context
248	KMT2A	255	NO	BLCA
249	MARK2	274	NO	BLCA
250	NHLRC1	0	NO	BLCA
251	PDCL	0	NO	BLCA
252	RHOB	0	NO	BLCA
253	RXRA	0	NO	BLCA
254	SPTAN1	243	NO	BLCA
255	TXNIP	0	NO	BLCA
256	DCLK1	0	NO	STAD
257	DCSTAMP	0	NO	STAD
258	EDNRB	0	NO	STAD
259	EFNB3	0	NO	STAD
260	GPSM3	0	NO	STAD
261	MAP2K7	0	NO	STAD
262	MUC6	332	NO	STAD
263	PIGR	0	NO	STAD
264	C1orf173	0	NO	SKCM
265	FAM58A	0	NO	SKCM
266	KLF6	0	NO	SKCM
267	PSG4	0	NO	SKCM
268	PSG9	0	NO	SKCM
269	ZFX	0	NO	SKCM
270	ERF	281	NO	PRAD
271	ZMYM3	311	NO	PRAD
272	TG	0	NO	THCA
273	LPPR4	0	NO	LUAD
274	CSH2	0	NO	HNSC
275	CYLD	283	NO	HNSC
276	KRT5	0	NO	HNSC
277	RARG	0	NO	HNSC
278	ZBTB22	0	NO	HNSC
279	KDM5C	254	NO	KIRC
280	MAX	341	NO	KIRC
281	OR10G7	0	NO	KIRC
282	ACVR1	0	NO	UCEC
283	CCND1	231	NO	UCEC
284	DYRK1A	0	NO	UCEC
285	FOXD4	0	NO	UCEC
286	SIN3A	225	NO	UCEC
287	SMTNL2	0	NO	UCEC, BRCA
288	SOX17	0	NO	UCEC
289	SUMO3	0	NO	UCEC
290	TAF1	337	NO	UCEC
291	BRCA1	260	NO	OV, BRCA
292	TOP2A	0	NO	OV
293	AXIN2	252	NO	COADREAD
294	BCL9	0	NO	COADREAD
295	BCL9L	280	NO	COADREAD
296	HNRNPAB	0	NO	COADREAD
297	PCBP1	0	NO	COADREAD
298	PRKCI	0	NO	COADREAD
299	TNRC6B	0	NO	COADREAD
300	MYB	0	NO	BRCA
301	NCOR1	289	NO	BRCA
302	XBP1	0	NO	BRCA
303	CDKN2C	0	NO	LGGGBM
304	IDH2	264	NO	LGGGBM
305	LZTR1	0	NO	LGGGBM
306	MYT1	0	NO	LGGGBM
307	NIPBL	339	NO	LGGGBM
308	PDGFRA	0	NO	LGGGBM
309	PTPN11	323	NO	LGGGBM
310	QKI	0	NO	LGGGBM
311	ZBTB20	304	NO	LGGGBM
312	ZNF292	0	NO	LGGGBM
